name,website,phone,full_address,street,postal_code,reviews,rating,review_count,photo_count,location_link,search_query,search_area
Boom Boom Firearms & Training,N/A,(301) 747-3500,"6710 Oxon Hill Rd Ste 210, Oxon Hill, MD 20745","6710 Oxon Hill Rd Ste 210, Oxon Hill",20745,4.9 stars ( reviews),4.9,,0,"https://www.google.com/maps/place/Boom+Boom+Firearms+%26+Training/@38.9187749,-77.105862,11z/data=!4m10!1m2!2m1!1sshooting+ranges+in+Washington+DC!3m6!1s0x89b7ba8709c36737:0xe09701219829e1ae!8m2!3d38.7979124!4d-77.0016565!15sCiBzaG9vdGluZyByYW5nZXMgaW4gV2FzaGluZ3RvbiBEQ1oiIiBzaG9vdGluZyByYW5nZXMgaW4gd2FzaGluZ3RvbiBkY5IBEGZpcmVhcm1zX2FjYWRlbXmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlNPVXRNZVZGM0VBRaoBXRABKhMiD3Nob290aW5nIHJhbmdlcygAMh4QASIasp9C6h_6iMH44z5Z-nC3MmXRM6ofHjscYV0yJBACIiBzaG9vdGluZyByYW5nZXMgaW4gd2FzaGluZ3RvbiBkY-ABAPoBBAgAEEg!16s%2Fg%2F11fz5q600w?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
,N/A,,,,N/A, stars ( reviews),,,6,"https://www.google.com/maps/place/Maryland+Small+Arms+Range,+Inc./@39.017399,-76.9291812,10z/data=!4m10!1m2!2m1!1sshooting+ranges+in+Maryland!3m6!1s0x89b7bde69395ace1:0xb75c0efaf57b0ad3!8m2!3d38.8052757!4d-76.8377876!15sChtzaG9vdGluZyByYW5nZXMgaW4gTWFyeWxhbmRaHSIbc2hvb3RpbmcgcmFuZ2VzIGluIG1hcnlsYW5kkgEOc2hvb3RpbmdfcmFuZ2WaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRhTTFFeWNISk5NMUl5V1d4Sk5WWldUak5QUld4dVVtMUZlRkl5WXhBQqoBWRABKhMiD3Nob290aW5nIHJhbmdlcygAMh8QASIbgliv20I7xVcCkYX5v87WsRi4V_-em_uev1fhMh8QAiIbc2hvb3RpbmcgcmFuZ2VzIGluIG1hcnlsYW5k4AEA-gEFCNsCEEg!16s%2Fg%2F1hm6309v8?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Maryland
XCAL Shooting Sports and Fitness,N/A,(703) 740-4625,"44950 Russell Branch Pkwy, Ashburn, VA 20147","44950 Russell Branch Pkwy, Ashburn",20147,4.8 stars (Confirmed by phone call 3 weeks ago reviews),4.8,Confirmed by phone call 3 weeks ago,2,"https://www.google.com/maps/place/XCAL+Shooting+Sports+and+Fitness/@39.0517557,-77.7239214,10z/data=!4m10!1m2!2m1!1sindoor+shooting+ranges+in+Fairfax+County+VA!3m6!1s0x89b63969668f5b9b:0x57e5cf5e5d099814!8m2!3d39.0517557!4d-77.44377!15sCitpbmRvb3Igc2hvb3RpbmcgcmFuZ2VzIGluIEZhaXJmYXggQ291bnR5IFZBWi0iK2luZG9vciBzaG9vdGluZyByYW5nZXMgaW4gZmFpcmZheCBjb3VudHkgdmGSAQ5zaG9vdGluZ19yYW5nZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFozUnhRak5uUlJBQqoBbxABKhoiFmluZG9vciBzaG9vdGluZyByYW5nZXMoADIeEAEiGrfdCt3hUvGDNYhoEBCWjL3BBqRynNZYm7_-Mi8QAiIraW5kb29yIHNob290aW5nIHJhbmdlcyBpbiBmYWlyZmF4IGNvdW50eSB2YeABAPoBBQjfBBBB!16s%2Fg%2F11pf55qmx2?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",indoor shooting ranges,Fairfax County VA
NOVA Armory,N/A,(703) 566-2814,"2607 Wilson Blvd, Arlington, VA 22201","2607 Wilson Blvd, Arlington",22201,4.4 stars ( reviews),4.4,,4,"https://www.google.com/maps/place/NOVA+Armory/@38.8870346,-77.1573998,10z/data=!4m10!1m2!2m1!1sindoor+shooting+ranges+in+Arlington+VA!3m6!1s0x89b7b691e58125bb:0xfb6380211570d635!8m2!3d38.8900657!4d-77.0900617!15sCiZpbmRvb3Igc2hvb3RpbmcgcmFuZ2VzIGluIEFybGluZ3RvbiBWQVooIiZpbmRvb3Igc2hvb3RpbmcgcmFuZ2VzIGluIGFybGluZ3RvbiB2YZIBCGd1bl9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVVJ2WDJONmIweG5FQUWqAWoQASoaIhZpbmRvb3Igc2hvb3RpbmcgcmFuZ2VzKAAyHhABIhq33Qsg4Ex0QhZBeqoxTRMg7G3hskO0piirzTIqEAIiJmluZG9vciBzaG9vdGluZyByYW5nZXMgaW4gYXJsaW5ndG9uIHZh4AEA-gEECE4QRg!16s%2Fg%2F11ck5c2pqk?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",indoor shooting ranges,Arlington VA
Firearms Range (Bldg 397),N/A,N/A,"109 Boundary Dr, Washington, DC 20373","109 Boundary Dr, Washington",20373,5.0 stars ( reviews),5.0,,1,"https://www.google.com/maps/place/Firearms+Range+(Bldg+397)/@39.0750996,-77.1175494,10z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Washington+DC!3m6!1s0x89b7b90060adf68f:0xff0ef821712c634b!8m2!3d38.8504169!4d-77.0101429!15sCihvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBXYXNoaW5ndG9uIERDkgEOc2hvb3RpbmdfcmFuZ2WqAW4QASobIhdvdXRkb29yIHNob290aW5nIHJhbmdlcygAMh8QASIbSqd43NgblRbRpzku3IwDyZ7_9P-wLUFJBQ8EMiwQAiIob3V0ZG9vciBzaG9vdGluZyByYW5nZXMgaW4gd2FzaGluZ3RvbiBkY-ABAA!16s%2Fg%2F11y350rvs2?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Washington DC
"Associated Gun Clubs of Baltimore, Inc.",N/A,(410) 461-8532,"11518 Marriottsville Rd, Marriottsville, MD 21104","11518 Marriottsville Rd, Marriottsville",21104,4.6 stars (Confirmed by phone call 11 weeks ago reviews),4.6,Confirmed by phone call 11 weeks ago,1,"https://www.google.com/maps/place/Associated+Gun+Clubs+of+Baltimore,+Inc./@39.3675233,-77.4384304,9z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Maryland!3m6!1s0x89c82304812ef471:0x811fa0be69f429f3!8m2!3d39.3675233!4d-76.8781277!15sCiNvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBNYXJ5bGFuZFolIiNvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBtYXJ5bGFuZJIBDnNob290aW5nX3JhbmdlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxYWJGWjZXazFaTUdSRVZHcGtTRkpIUms5V1ZrbzFWREJWTUZWVlJSQUKqAWkQASobIhdvdXRkb29yIHNob290aW5nIHJhbmdlcygAMh8QASIbAuvGRRD56hMkCEjrpl_zf8E023rt9b7S7hLPMicQAiIjb3V0ZG9vciBzaG9vdGluZyByYW5nZXMgaW4gbWFyeWxhbmTgAQD6AQQIIBAr!16s%2Fg%2F1tgq7mgj?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Maryland
Bull Run Shooting Center,N/A,(703) 830-2344,"7700 Bull Run Dr, Centreville, VA 20121","7700 Bull Run Dr, Centreville",20121,4.3 stars ( reviews),4.3,,0,"https://www.google.com/maps/place/Bull+Run+Shooting+Center/@38.8106851,-78.0373147,9z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Virginia!3m6!1s0x89b65cacc96121e1:0x6220eb9ae42baa4d!8m2!3d38.8106851!4d-77.477012!15sCiNvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBWaXJnaW5pYVolIiNvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiB2aXJnaW5pYZIBDnNob290aW5nX3JhbmdlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVExTFhWRVpGVlJFQUWqAWkQASobIhdvdXRkb29yIHNob290aW5nIHJhbmdlcygAMh8QASIbAuvGRRD6Cicco9jh1s_XKXPTvDfPRMwXT48dMicQAiIjb3V0ZG9vciBzaG9vdGluZyByYW5nZXMgaW4gdmlyZ2luaWHgAQD6AQQIABBA!16s%2Fg%2F1tl7plvn?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Virginia
Izaak Walton League Rockville Chapter,N/A,(301) 972-1645,"18301 Waring Station Rd, Germantown, MD 20874","18301 Waring Station Rd, Germantown",20874,4.6 stars ( reviews),4.6,,5,"https://www.google.com/maps/place/Izaak+Walton+League+Rockville+Chapter/@39.1557159,-77.5335235,10z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Montgomery+County+MD!3m6!1s0x89b62db2ccae785b:0xeae6b74068b26eaf!8m2!3d39.1557159!4d-77.2533721!15sCi9vdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBNb250Z29tZXJ5IENvdW50eSBNRFoxIi9vdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBtb250Z29tZXJ5IGNvdW50eSBtZJIBF25vbl9wcm9maXRfb3JnYW5pemF0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVIxYm5CdFpIVkJSUkFCqgF2EAEqGyIXb3V0ZG9vciBzaG9vdGluZyByYW5nZXMoADIgEAEiHAewvO63J4BUEuKSKzC_erPLO1p1P9B4UasdVkYyMxACIi9vdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBtb250Z29tZXJ5IGNvdW50eSBtZOABAPoBBAgAEDI!16s%2Fg%2F1tcv2b31?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Montgomery County MD
Prince George's County Trap and Skeet Center,N/A,(301) 577-7178,"10400 Good Luck Rd, Glenn Dale, MD 20769","10400 Good Luck Rd, Glenn Dale",20769,4.5 stars (Updated by phone call 7 weeks ago reviews),4.5,Updated by phone call 7 weeks ago,0,"https://www.google.com/maps/place/Prince+George's+County+Trap+and+Skeet+Center/@38.8756231,-76.8822327,10z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Prince+George's+County+MD!3m6!1s0x89b7c209f18e0711:0x3ce20d07e2201d14!8m2!3d39.0056516!4d-76.8341826!15sCjRvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBQcmluY2UgR2VvcmdlJ3MgQ291bnR5IE1EWjYiNG91dGRvb3Igc2hvb3RpbmcgcmFuZ2VzIGluIHByaW5jZSBnZW9yZ2UncyBjb3VudHkgbWSSARRza2VldF9zaG9vdGluZ19yYW5nZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2NIUmhSVjlSUlJBQqoBehABKhsiF291dGRvb3Igc2hvb3RpbmcgcmFuZ2VzKAAyHxABIhsusx2GsIQaHn5qysFt0mlCIxrx4on_y1NH9oIyOBACIjRvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBwcmluY2UgZ2VvcmdlJ3MgY291bnR5IG1k4AEA-gEECAAQHg!16s%2Fg%2F11bbt6n4rw?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Prince George's County MD
"The Arlington-Fairfax Chapter, Inc.",N/A,(703) 631-4495,"14708 Mt Olive Rd, Centreville, VA 20121","14708 Mt Olive Rd, Centreville",20121,4.2 stars ( reviews),4.2,,1,"https://www.google.com/maps/place/The+Arlington-Fairfax+Chapter,+Inc./@38.8216712,-78.0190473,9z/data=!4m10!1m2!2m1!1soutdoor+shooting+ranges+in+Arlington+VA!3m6!1s0x89b644ba7ffec413:0xade6fc27c381ec0d!8m2!3d38.8216712!4d-77.4587446!15sCidvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBBcmxpbmd0b24gVkFaKSInb3V0ZG9vciBzaG9vdGluZyByYW5nZXMgaW4gYXJsaW5ndG9uIHZhkgEOc2hvb3RpbmdfcmFuZ2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlFkVTFZVFZkQkVBRaoBbRABKhsiF291dGRvb3Igc2hvb3RpbmcgcmFuZ2VzKAAyHxABIhsDDGBYH_J3ggwUvqSLlcCh2n6XeksqAyz0-X8yKxACIidvdXRkb29yIHNob290aW5nIHJhbmdlcyBpbiBhcmxpbmd0b24gdmHgAQD6AQQIHRAw!16s%2Fg%2F1tvm3nb4?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",outdoor shooting ranges,Arlington VA
"Sponsored
",N/A,(240) 606-7958,"Classes at Fred's Outdoors- 2895 Robert S. Crain Hwy, Waldorf MD. 20601 Headquarters, 4708 Iverson Pl, Temple Hills, MD 20748","Classes at Fred's Outdoors- 2895 Robert S. Crain Hwy, Waldorf MD. 20601 Headquarters, 4708 Iverson Pl, Temple Hills",20748,5.0 stars ( reviews),5.0,,0,"https://www.google.com/maps/place/SafeShot+Security+%26+Training+Academy/@38.632052,-77.1860684,10z/data=!4m9!1m2!2m1!1sfirearms+training+in+Maryland!3m5!1s0x89b7a1ee784e1795:0xa841c7f94307dd71!8m2!3d38.632052!4d-76.9059174!16s%2Fg%2F11x204bm04?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",firearms training,Maryland
Protect & Defend Firearms Academy and Outfitters,N/A,(703) 228-9949,"6468 Sutcliffe Dr, Alexandria, VA 22315","6468 Sutcliffe Dr, Alexandria",22315,5.0 stars ( reviews),5.0,,0,"https://www.google.com/maps/place/Protect+%26+Defend+Firearms+Academy+and+Outfitters/@38.7086419,-77.2547917,10z/data=!4m10!1m2!2m1!1sfirearms+training+in+Virginia!3m6!1s0x89b7b27350973e17:0x780650b0cef6aea4!8m2!3d38.7779754!4d-77.1261685!15sCh1maXJlYXJtcyB0cmFpbmluZyBpbiBWaXJnaW5pYVofIh1maXJlYXJtcyB0cmFpbmluZyBpbiB2aXJnaW5pYZIBEGZpcmVhcm1zX2FjYWRlbXmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRhR1J5Wm1kQlJSQUKqAXIKCS9tLzAxNGpnMwoIL20vMDM0cWcQASoVIhFmaXJlYXJtcyB0cmFpbmluZygAMh8QASIbAwyOT1CZ4pCTupkJfttjrER4D-JEUwG1sxaVMiEQAiIdZmlyZWFybXMgdHJhaW5pbmcgaW4gdmlyZ2luaWHgAQD6AQQIFhBG!16s%2Fg%2F11cnd5h4c6?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D",firearms training,Virginia
